predict_price,real_price
4.4942,23.2
5.0243,23.7
5.1651,23.6
5.5234,23.7
4.7422,24.7
4.9324,18.3
4.1689,20.8
4.7923,20.1
4.5925,22.0
3.7899,23.6
4.166,23.0
6.2208,23.4
6.1817,22.6
4.9455,20.7
4.37,20.9
4.8033,33.1
4.3453,30.2
4.189,30.1
3.7944,30.1
3.8981,22.2
3.6449,21.7
3.6502,23.4
3.8502,22.2
5.3054,21.7
5.3608,20.1
5.5021,20.1
5.7257,20.1
5.6547,19.9
5.1393,18.9
6.1036,18.9
6.4162,16.9
4.9747,16.8
4.6139,16.3
5.5231,16.4
5.7732,16.3
5.9783,15.2
5.5601,14.9
6.6197,12.1
7.1373,11.9
6.4388,9.9
6.4498,6.3
6.7439,4.0
7.61,3.0
6.1829,2.9
6.1368,2.0
6.5338,0.9
7.1042,0.3
6.3531,-3.8
6.2019,14.7
6.8496,8.8
7.0384,8.9
6.5713,8.7
6.4158,8.7
6.6982,8.3
7.5887,8.7
6.2472,8.7
5.9816,8.7
6.2821,9.1
7.729,11.4
6.399,12.5
6.1652,14.4
6.5304,8.6
7.0808,8.7
6.5538,8.7
6.2765,8.9
6.1831,8.4
7.2783,8.3
6.1058,8.7
5.7291,8.7
5.9558,8.6
7.3083,8.4
6.4419,-13.1
6.2968,-1.5
6.8781,3.0
8.1298,1.3
7.5076,1.3
7.502,1.3
6.6663,3.1
7.5135,6.3
6.5581,0.0
6.1723,6.9
5.9909,-0.1
6.6889,-3.4
6.0981,-1.5
5.9494,-4.8
6.6073,2.9
6.9836,5.5
6.9874,6.0
6.6626,6.3
6.0135,8.3
6.1752,8.8
6.2128,9.5
5.3652,9.7
4.8314,7.3
5.5163,6.4
5.1082,8.9
4.6252,9.0
4.5873,9.1
5.648,-0.4
6.5498,4.6
5.385,4.6
5.5732,-4.2
5.4148,0.4
6.6823,0.0
4.5651,-0.3
3.7589,-0.1
3.4731,0.0
5.0819,-1.0
3.8483,-1.6
3.0902,3.7
2.8451,8.2
5.0135,12.6
3.8925,15.2
3.2273,17.3
2.5888,18.0
4.4943,19.3
4.0183,23.0
2.9153,23.0
2.1279,19.0
4.2587,22.9
3.7833,23.0
3.1515,19.4
3.0726,23.0
5.0018,23.4
4.3511,25.4
4.3562,25.4
3.9678,20.2
6.1165,26.8
5.3656,27.0
5.4229,29.1
4.9825,27.9
6.2979,25.3
5.0608,25.4
5.2463,31.3
4.6029,28.7
6.9045,28.8
6.1954,28.7
6.8787,24.7
6.0077,20.4
7.3167,19.3
6.9015,16.0
7.1236,11.4
6.8633,8.8
6.6255,7.2
6.4877,5.4
7.796,18.2
7.5925,18.2
8.1223,13.4
7.9294,13.6
8.6341,13.6
7.8234,13.6
7.6112,13.4
8.196,5.6
8.386,5.5
8.3502,5.0
8.1301,15.1
8.8173,8.7
9.9358,5.1
10.6887,3.5
9.8608,3.4
10.2956,1.6
10.2206,0.4
10.4277,-9.9
9.6868,1.1
10.3634,-1.2
10.3353,-3.6
11.1146,0.0
9.5188,0.0
10.0833,-5.2
11.6398,0.7
12.2376,1.5
11.0737,5.0
11.0113,5.2
11.4551,7.9
11.3068,8.3
10.4526,10.9
10.3638,11.5
10.3688,-0.1
10.9761,1.5
8.6519,6.3
8.2819,2.9
9.3838,6.4
9.5966,8.1
9.655,12.5
8.8503,8.1
8.697,7.0
8.4695,6.9
8.1278,6.6
7.9184,6.5
7.2913,4.8
8.2649,12.6
7.9002,13.9
7.3009,16.0
7.3043,16.1
7.5215,16.8
7.9235,19.0
6.5879,13.9
6.3804,7.0
6.6866,7.0
7.2937,6.9
6.539,4.0
5.4369,7.2
6.471,6.5
7.472,6.6
6.4716,7.0
5.6735,7.0
5.7741,9.0
6.6004,7.0
4.8113,8.4
5.1205,8.1
4.9099,14.8
6.0093,14.9
5.3646,13.3
4.3361,14.9
4.6467,13.4
6.3177,14.9
5.3927,14.7
5.1854,13.5
5.1569,13.4
5.9066,13.3
4.7607,15.4
5.3143,13.3
5.024,17.9
6.0905,18.0
5.8857,18.3
5.2067,13.5
5.1452,13.5
6.4765,13.4
6.0802,16.9
6.2942,13.3
5.8908,13.3
6.3038,13.3
5.7495,13.4
6.2818,13.3
6.168,13.3
6.7194,11.8
7.4844,11.8
7.0507,11.8
6.8311,11.8
6.8561,10.0
7.2548,6.8
7.5975,1.6
6.531,1.5
6.5269,1.5
6.2162,3.5
7.7099,6.6
6.9771,9.4
6.7632,19.9
7.6893,20.5
7.9063,23.4
7.4795,24.1
8.3471,24.8
8.9003,27.3
9.366,27.7
9.2423,15.6
8.7017,15.6
8.923,15.7
9.6629,18.3
10.4999,21.5
9.2051,23.0
10.6938,24.0
11.0562,26.4
11.2564,29.4
10.147,23.2
11.1751,26.4
11.155,26.5
11.4987,20.2
10.2409,20.1
10.7691,23.2
10.8744,23.6
12.0326,24.9
10.0872,20.4
11.3276,23.5
11.2981,23.5
11.3954,23.5
9.064,19.9
10.0926,23.3
10.1732,19.9
10.5651,9.9
8.4797,9.7
8.5473,7.9
9.0755,7.8
9.5385,7.7
7.6036,7.7
8.1474,12.2
8.8933,11.0
9.049,7.7
7.8856,8.2
7.9281,5.1
7.6115,4.9
8.464,3.3
7.4609,2.4
7.4668,0.9
7.3134,0.0
8.469,5.3
7.2089,5.2
7.3281,0.1
6.9846,-5.3
7.287,0.1
7.3343,0.0
7.2692,-4.6
6.3393,3.8
7.869,-7.2
7.3125,0.1
7.5271,0.0
6.0804,-0.1
8.0028,-0.3
7.4913,-0.4
7.0582,-1.6
5.7969,-0.5
7.1009,-1.9
5.9811,-0.1
5.7413,0.0
4.4925,10.0
6.164,-0.5
5.6352,12.4
5.329,2.6
4.0356,2.0
6.2046,12.6
5.7095,12.6
5.4586,14.0
5.094,16.6
5.4158,12.5
4.0468,12.4
3.7937,16.4
2.9255,12.6
3.4645,12.3
3.2264,12.2
2.9332,3.8
2.1852,2.3
3.5849,-0.9
3.1755,1.6
3.2164,13.1
2.827,13.1
3.6199,14.9
1.8034,15.5
1.8701,17.1
0.7597,9.9
1.5785,19.9
1.6436,19.9
1.8524,20.0
0.7449,20.0
1.4814,12.8
1.1757,12.9
1.7821,20.0
1.4199,12.9
1.4893,20.0
0.1183,19.9
0.569,20.0
0.5726,8.7
0.9616,8.6
0.5926,8.0
1.3092,7.9
0.6508,13.2
0.812,13.3
1.1857,15.0
2.4001,17.9
2.0573,15.0
1.5327,15.0
1.4883,14.0
2.641,4.0
3.2386,3.5
2.7896,3.9
2.4917,4.5
3.6275,4.6
3.2893,4.7
3.2833,6.3
4.698,2.0
5.1441,2.0
4.0092,0.0
3.8021,0.0
6.0729,0.0
7.0652,0.0
6.6995,0.1
6.9735,-0.1
6.5953,1.9
7.3224,-0.5
6.7773,1.3
6.7872,1.3
7.694,6.2
7.6456,6.3
6.8397,8.9
6.6329,9.3
6.8005,11.1
7.6177,12.5
7.9781,1.2
7.984,1.2
7.1086,1.1
7.4947,-1.0
7.3673,-0.5
7.385,9.1
7.4081,9.1
7.3891,11.0
7.1374,9.1
7.7183,11.0
6.7009,11.1
6.8933,11.2
7.5316,9.1
8.572,9.1
7.6187,9.1
7.3101,10.9
